Compound_Position,Compound_Name,log2_shNC_mean,log2_shRB1_1_mean,log2_shRB1_1_mean_shNC_mean
SK01J22,SAR245409 (XL765),-0.09237174,-0.227202766,0.134831026
SK01J23,DMSO,0.01328235,0.20416137,-0.190879021
SK01J24,DMSO,0.378564595,0.48949587,-0.110931275
SK01K01,Saracatinib (AZD0530),-0.075435225,-0.610015579,0.534580354
SK01K02,TW-37,-0.660931485,-0.734829401,0.073897916
SK01K03,Cediranib (AZD2171),-1.49970198,-1.761604818,0.261902838
SK01K04,Malotilate,-0.904110232,-0.764888308,-0.139221924
SK01K05,Lapatinib (GW-572016) Ditosylate,-0.175208436,-0.695184942,0.519976506
SK01K06,SNS-032 (BMS-387032),-0.720783982,-0.949598768,0.228814786
SK01K07,PI-103,-0.131509171,0.089064058,-0.220573229
SK01K08,Capecitabine ,-0.518746919,-0.488856575,-0.029890344
SK01K09,"Vorinostat (SAHA, MK0683)",-1.576762592,-1.385826049,-0.190936544
SK01K10,CP-724714,-0.631745188,-0.581199404,-0.050545784
SK01K11,"Olaparib (AZD2281, Ku-0059436)",-0.638595703,-0.765586667,0.126990964
SK01K12,BIIB021,-0.155374794,0.098534777,-0.253909571
SK01K13,PHA-665752,-1.555237175,-1.32417511,-0.231062065
SK01K14,Ritonavir,-0.653723473,-0.457251423,-0.19647205
SK01K15,Vismodegib (GDC-0449),-0.394616018,-0.524321274,0.129705256
SK01K16,CUDC-101,-1.094245438,-0.932517441,-0.161727996
SK01K17,GSK1904529A,-0.102901813,-0.674389213,0.5714874
SK01K18,Dutasteride,-1.105787371,-1.149500415,0.043713044
SK01K19,U0126-EtOH,-0.29924043,-0.563000131,0.263759701
SK01K20,Bendamustine HCl,-0.508230574,-0.429228567,-0.079002007
SK01K21,Foretinib (GSK1363089),-2.202711942,-1.99515488,-0.207557063
SK01K22,"Dexrazoxane HCl (ICRF-187, ADR-529)",-0.492729463,-0.297267347,-0.195462116
SK01K23,DMSO,-0.002497101,-0.123766813,0.121269712
SK01K24,DMSO,0.380340928,0.51678216,-0.136441231
SK01L01,Topotecan HCl,-0.980801614,-1.134264392,0.153462778
SK01L02,Mianserin HCl,-0.586770522,-0.637584617,0.050814095
SK01L03,Leflunomide,-0.358809883,-0.667649279,0.308839397
SK01L04,Pirarubicin,-1.037402108,-0.854618638,-0.18278347
SK01L05,Prasugrel,-0.74674281,-0.526261044,-0.220481765
SK01L06,Vecuronium Bromide,-0.588130541,-0.387653509,-0.200477033
SK01L07,"Vemurafenib (PLX4032, RG7204)",-0.493360642,-0.70253631,0.209175668
SK01L08,Rolipram,-0.31510711,-0.529699002,0.214591892
SK01L09,Artemisinin,-0.395636221,-0.521519114,0.125882894
SK01L10,Voriconazole,-0.67876539,-0.580676259,-0.098089131
SK01L11,Cilnidipine,-1.041934138,-0.537193674,-0.504740464
SK01L12,Cilomilast,-0.705250568,-0.502496543,-0.202754025
SK01L13,Streptozotocin (STZ),-0.370169998,-0.404594735,0.034424737
SK01L14,Doxercalciferol,-0.100824508,-0.573899246,0.473074738
SK01L15,Felbamate,-0.269350965,-0.450758322,0.181407357
SK01L16,"VX-222 (VCH-222, Lomibuvir)",-0.293265294,-0.422859352,0.129594057
SK01L17,Glimepiride,-0.614268407,-0.363915405,-0.250353002
SK01L18,Naratriptan ,-0.319067514,-0.509502778,0.190435264
SK01L19,Losartan Potassium (DuP 753),-0.53029808,-0.589644947,0.059346867
SK01L20,Aztreonam,-0.168730454,-0.418565667,0.249835212
SK01L21,Bafetinib (INNO-406),-0.39998313,-0.548217539,0.148234409
SK01L22,AT7519,-0.285755982,-0.555357577,0.269601595
SK01L23,DMSO,-0.103548355,0.076826651,-0.180375006
SK01L24,DMSO,0.444103591,0.434586466,0.009517125
SK01M01,FG-4592,-0.335470381,-0.583413428,0.247943048
SK01M02,Mocetinostat (MGCD0103),-1.450075821,-1.537014988,0.086939166
SK01M03,"Dovitinib (TKI-258, CHIR-258)",-0.247287934,-1.296788029,1.049500094
SK01M04,Brivanib Alaninate (BMS-582664),-0.550642341,-1.062353752,0.511711411
SK01M05,Lenalidomide (CC-5013),-0.156939831,-0.552263403,0.395323572
SK01M06,Barasertib (AZD1152-HQPA),-0.488884304,-0.951628566,0.462744262
SK01M07,Rapamycin (Sirolimus),-0.145375766,0.033079856,-0.178455622
SK01M08,CEP-18770 (Delanzomib),-1.60278191,-1.328311459,-0.274470451
SK01M09,"VX-680 (Tozasertib, MK-0457)",-0.826917662,-0.625810306,-0.201107356
SK01M10,Valproic acid sodium salt (Sodium valproate),-0.250468038,-0.456577056,0.206109018
SK01M11,Nutlin-3,-1.403358805,-1.223363984,-0.179994821
SK01M12,Plinabulin (NPI-2358),-0.303269341,-0.612190799,0.308921458
SK01M13,HA14-1,-1.182801963,-0.820786748,-0.362015215
SK01M14,BIBR 1532,-0.21798085,-0.506950509,0.288969659
SK01M15,Brivanib (BMS-540215),-0.685756779,-0.587683783,-0.098072996
SK01M16,TAK-700 (Orteronel),-0.068448211,-0.582540693,0.514092482
SK01M17,PF-04217903,-0.506071418,-0.50527153,-0.000799889
SK01M18,Melatonin,-0.17505982,-0.291392012,0.116332192
SK01M19,ZM 447439,-0.475182627,-0.643184163,0.168001536
SK01M20,Nelarabine ,-0.312561443,-0.359631599,0.047070155
SK01M21,SGX-523,-0.210911437,-0.053183674,-0.157727763
SK01M22,Epirubicin HCl,-5.227904141,-5.222632169,-0.005271973
SK01M23,DMSO,-0.225347475,0.029874875,-0.255222349
SK01M24,DMSO,0.312605446,0.323955083,-0.011349637
SK01N01,2-Methoxyestradiol (2-MeOE2),-0.463972051,-0.899507898,0.435535847
